AccelForward (m/s²),AccelLateral (m/s²),AccelDown (m/s²),AngleRateForward (deg/s),AngleRateLateral (deg/s),AngleRateDown (deg/s)
0.074,-0.081,-9.799,0.71,0.094,0.214
0.12,-0.091,-9.805,0.601,-0.051,-0.198
0.081,0.192,-9.668,-0.598,0.064,-0.423
0.1,0.094,-9.758,0.088,-0.016,-0.032
0.048,-0.089,-9.948,0.768,-0.284,0.145
0.101,-0.041,-9.684,0.027,0.094,0.174
0.233,0.028,-9.645,-0.28,0.49,0.091
0.14,0.103,-9.893,-0.534,0.135,-0.04
0.099,0.028,-9.812,0.263,-0.08,-0.071
0.195,-0.178,-9.784,1.184,0.225,-0.192
0.188,-0.032,-9.716,-0.186,0.28,-0.192
0.23,0.163,-9.67,-1.018,0.044,-0.038
0.198,-0.059,-9.958,0.454,0.05,0.044
0.14,-0.076,-9.898,0.405,0.265,0.124
0.261,0.033,-9.677,-0.108,0.295,-0.003
0.22,-0.074,-9.75,0.765,0.216,0.039
0.153,0.043,-9.82,-0.25,0.035,0.165
0.254,0.005,-9.889,-0.511,0.254,0.228
0.242,-0.138,-9.84,0.354,0.235,0.196
0.265,0.146,-9.672,-0.798,0.179,0.064
0.332,0.064,-9.815,-0.047,0.175,-0.05
0.205,-0.202,-9.877,0.842,-0.019,-0.073
0.24,0.06,-9.7,-1.011,0.2,0.131
0.361,0.089,-9.799,-0.405,0.152,0.235
0.267,-0.008,-9.838,0.416,-0.029,0.084
0.294,0.083,-9.777,-0.349,0.246,0.083
0.315,-0.107,-9.842,0.671,0.208,-0.026
0.217,0.009,-9.746,-0.165,0.067,-0.104
0.288,0.244,-9.779,-1.223,0.108,0.018
0.267,-0.074,-9.971,1.034,0.097,-0.093
0.194,-0.079,-9.854,0.585,0.05,0.048
0.285,0.154,-9.751,-0.834,-0.121,0.327
0.2,0.03,-9.891,0.18,-0.071,0.018
0.131,0.027,-9.882,0.085,0.225,-0.308
0.258,-0.017,-9.848,0.062,0.29,-0.122
0.235,-0.05,-9.869,0.294,-0.31,0.12
0.203,0.205,-9.792,-0.935,-0.248,0.319
0.246,0.044,-9.873,0.168,0.308,0.093
0.182,-0.185,-9.885,1.176,0.016,-0.258
0.222,0.043,-9.71,-0.361,0.132,-0.161
0.281,0.072,-9.783,-0.207,0.17,-0.053
0.178,0.024,-9.888,0.112,-0.246,-0.179
0.213,0.031,-9.851,0.138,-0.14,-0.396
0.248,-0.168,-9.827,1.065,0.026,-0.241
