GCP_ID,Northing,Easting,Elev
A10,290490.4165,7552983.553,1196.48445
A11,290478.055,7552926.875,1188.40569
A12,290460.0373,7552867.084,1188.2452
A13,290504.6601,7553027.469,1197.90043
A14,290538.9728,7553034.871,1204.241
A15,290531.5874,7552977.37,1206.71749
A16,290508.8837,7552943.351,1200.92079
A17,290554.5144,7552897.327,1203.16552
A18,290575.8601,7552983.842,1210.10484
A19,290632.8409,7553016.231,1211.47528
A20,290611.9006,7553051.994,1210.19941
A21,290575.8681,7553052.011,1207.5179
A22,290588.3865,7553081.359,1204.22052
A23,290618.2791,7553116.311,1203.7259
A24,290653.5292,7553124.073,1203.61435
A25,290652.1142,7553151.324,1203.38961
A26,290694.725,7553134.597,1203.39131
A27,290686.3337,7553095.573,1203.81973
