timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1520025056.167144,0.072070,0.362256,-0.084254,-0.042297,-0.019598,-0.025624,0.067334,-0.354385,-0.932672,0.073947,-0.068558,0.047418,-5.542950,-46.373146,-51.386730,,,,,,,
1520025056.177128,0.071898,0.361516,-0.084768,-0.076666,-0.040324,-0.063601,0.067193,-0.353693,-0.932945,0.061835,-0.084265,0.030830,-5.119373,-46.740284,-51.097233,,,,,,,
1520025056.187116,0.071618,0.360667,-0.085664,-0.077084,-0.066197,-0.096719,0.066953,-0.352898,-0.933263,0.056261,-0.092414,0.022100,-5.119373,-46.740284,-51.097233,,,,,,,
1520025056.197100,0.071177,0.359989,-0.086878,-0.052058,-0.091941,-0.125118,0.066558,-0.352264,-0.933531,0.040437,-0.099534,0.026594,-5.101204,-46.671371,-51.161995,,,,,,,
1520025056.207084,0.071910,0.367775,-0.088701,-0.029402,-0.082511,-0.139624,0.067043,-0.359540,-0.930718,0.011357,-0.097216,0.028435,-5.090595,-46.646919,-51.185345,,,,,,,
1520025056.217052,0.071947,0.367560,-0.090121,-0.007222,-0.033543,-0.130600,0.067083,-0.359340,-0.930793,-0.021917,-0.089101,0.020392,-5.032756,-47.055019,-50.816196,,,,,,,
1520025056.237039,0.073931,0.367290,-0.092165,-0.009530,0.122134,-0.065278,0.068938,-0.359088,-0.930754,-0.034834,-0.077619,0.005858,-4.928545,-47.058659,-50.823040,,,,,,,
1520025056.227055,0.072606,0.367423,-0.091349,-0.004453,0.043119,-0.108003,0.067700,-0.359212,-0.930797,-0.022534,-0.089229,0.020397,-5.032756,-47.055019,-50.816196,,,,,,,
1520025056.247015,0.075654,0.367001,-0.092387,-0.036160,0.174739,-0.009126,0.070548,-0.358818,-0.930738,-0.027564,-0.052178,-0.065615,-4.839875,-47.058506,-50.831699,,,,,,,
1520025056.257011,0.075689,0.366059,-0.091325,-0.087284,0.198641,0.047602,0.070607,-0.357938,-0.931072,-0.016774,-0.030932,-0.090870,-4.745631,-47.045700,-50.852432,,,,,,,
