sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2273;3.6227;10.1001;-0.1753;4.0968;8.9082;0.0496;0.3315;0.1853;-0.6304;1.1732;1.46;105.0;101.19;6.48;24.03;265.32;-30.99;0.79;8.0;1002.28;62.416;44.567577;-123.2747;55.74;NaN;;0.0;6.068;;12 / 21;16;2018-03-07 17:27:31:267
0.3757;4.5847;10.8132;-2.8259;3.2418;8.8134;2.3406;1.5144;2.5564;0.4771;-1.5721;-2.1172;294.0;124.57;2.09;31.28;272.04;-21.23;17.26;8.0;1002.15;62.416;44.567577;-123.2747;55.74;NaN;;0.0;6.068;;12 / 21;516;2018-03-07 17:27:31:767
0.6843;-0.9547;11.1673;0.3094;1.4784;9.6896;-1.6914;-1.6155;-0.1411;-0.5231;-1.0217;0.0691;1010.0;101.7;16.45;12.89;277.5;-8.67;-1.83;8.0;1002.23;62.416;44.567577;-123.2747;55.91;NaN;;5.08;6.068;27.0;12 / 21;1016;2018-03-07 17:27:32:267
-0.4905;1.7946;9.8824;0.033;2.0335;9.5934;0.1287;0.1538;-1.7441;0.0409;0.8085;0.1251;1031.0;103.25;57.98;-39.32;302.03;-9.34;1.21;8.0;1002.26;62.416;44.567577;-123.2747;55.91;NaN;;5.08;6.068;27.0;12 / 21;1515;2018-03-07 17:27:32:766
-0.3709;2.0339;9.7579;-0.3515;2.0226;9.5894;-0.0062;-0.0187;0.0474;0.0023;0.0015;-0.0016;1035.0;130.17;43.56;-66.08;293.89;-11.95;2.09;8.0;1002.28;62.416;44.567577;-123.2747;56.67;NaN;;0.0;6.068;;12 / 21;2015;2018-03-07 17:27:33:266
-0.3206;2.0267;9.7723;-0.337;2.0089;9.5928;0.0439;-0.0406;0.0152;0.0019;7.0E-4;-0.0014;1036.0;130.94;43.74;-65.86;293.68;-11.86;2.06;8.0;1002.26;62.416;44.567577;-123.2747;56.67;NaN;;0.0;6.068;;12 / 21;2515;2018-03-07 17:27:33:766
-0.3446;2.0315;9.7699;-0.3343;2.0068;9.5933;0.0192;-0.0129;-0.0075;0.0023;0.0023;-0.0014;1036.0;130.35;43.75;-66.39;294.35;-11.82;2.02;8.0;1002.26;62.416;44.567577;-123.2747;56.67;NaN;;0.0;6.068;;12 / 21;3015;2018-03-07 17:27:34:266
-0.3757;2.0291;9.7555;-0.3402;2.0042;9.5936;0.0022;0.0093;-0.0078;0.0021;0.0017;-8.0E-4;1034.0;129.19;44.03;-69.2;294.66;-11.78;2.0;8.0;1002.26;62.416;44.567577;-123.2747;56.67;NaN;;0.0;6.068;;12 / 21;3516;2018-03-07 17:27:34:767
-0.347;2.0172;9.7651;-0.3379;2.0041;9.5937;0.0206;-0.0082;0.0116;0.0016;9.0E-4;-0.002;1034.0;128.47;44.22;-71.05;295.0;-11.79;2.02;8.0;1002.24;62.416;44.567577;-123.2747;56.92;NaN;;0.0;6.068;;12 / 21;4016;2018-03-07 17:27:35:267
-0.3111;2.0267;9.7412;-0.3343;2.0042;9.5938;0.0502;-0.0097;0.0212;0.0021;0.0023;-0.0016;1034.0;128.73;44.33;-69.71;294.76;-11.79;2.05;8.0;1002.25;62.416;44.567577;-123.2747;56.92;NaN;;0.0;6.068;;12 / 21;4515;2018-03-07 17:27:35:766
