Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX,calMagY,calMagZ
15-Mar-2018 17:31:25.274, 0.0087, 0.0172,-0.9885, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,,, 0.0000, 0.0000, 0.000000,Unknown,Low, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.290, 0.0095, 0.0176,-0.9871, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.299, 0.0084, 0.0172,-0.9883, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.312, 0.0090, 0.0171,-0.9896, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 79.0923, 39.8063,-504.3929, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.321, 0.0085, 0.0172,-0.9878, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 79.0923, 39.8063,-504.3929, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.329, 0.0100, 0.0167,-0.9897, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 79.0923, 39.8063,-504.3929, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.339, 0.0108, 0.0172,-0.9886, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 79.0923, 39.8063,-504.3929, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.350, 0.0088, 0.0170,-0.9873, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 77.1328, 39.9856,-503.1993, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.364, 0.0097, 0.0169,-0.9875,-0.0296, 0.0539,-0.0068, 0.0096,-0.0179,-0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 77.1328, 39.9856,-503.1993, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.368, 0.0088, 0.0169,-0.9917,-0.0296, 0.0539,-0.0068, 0.0096,-0.0179,-0.0000,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 77.1328, 39.9856,-503.1993, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.379, 0.0098, 0.0165,-0.9910,-0.0296, 0.0539,-0.0079, 0.0104,-0.0183,-0.0001,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 77.1328, 39.9856,-503.1993, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.388, 0.0099, 0.0181,-0.9897,-0.0307, 0.0550,-0.0079, 0.0112,-0.0188,-0.0002,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 77.8454, 39.2684,-504.5634, 0.0000, 0.0000, 0.0000
15-Mar-2018 17:31:25.398, 0.0086, 0.0180,-0.9871,-0.0307, 0.0550,-0.0079, 0.0112,-0.0188,-0.0002,44.567577,-123.274492, 0.0000, 0.0000, 243.977051,Unknown,Low, 0.0000, 0.0000, 77.8454, 39.2684,-504.5634, 0.0000, 0.0000, 0.0000
